PName,PNumber,PLocation,PHeight,PWeight,PBirth,PContract,PCurrent_salary,PTeam
盖尔雄-亚布塞莱,30,F,2.03米/6尺8,118公斤/260磅,1995-12-17,4年1281万美元，2017年夏天签，2021年夏天到期，2019-20、2020-21赛季球队选项,267,波士顿凯尔特人
罗伯特-威廉姆斯,44,C-F,2.06米/6尺9,107公斤/237磅,1997-10-17,"4年927万美元，2018年夏天签，2022年夏天到期,2020和2021年球队选项",165,波士顿凯尔特人
丹尼尔-泰斯,27,F,2.06米/6尺9,110公斤/243磅,1992-04-04,2年219万美元，2017年夏天签，2019年夏天到期,138,波士顿凯尔特人
谢米-奥杰莱,37,F,2.01米/6尺7,107公斤/235磅,1994-12-05,4年604万美元，2017年夏天签，2021年夏天到期；2018-19赛季90万美元保障，2018年7月15日之前不被裁则转为全额保障，2019-20赛季无保障，2019年7月1日之前不被裁则转为全额,138,波士顿凯尔特人
布拉德-沃纳梅克,9,G,1.93米/6尺4,95公斤/210磅,1989-07-25,1年84万美元，2018年夏天签，2019年夏天到期,84,波士顿凯尔特人
PJ-多齐尔,50,G-F,1.98米/6尺6,93公斤/205磅,1996-10-25,双向合同,7,波士顿凯尔特人
RJ-亨特,28,G,1.98米/6尺6,84公斤/185磅,1993-10-24,双向合同,7,波士顿凯尔特人
阿伦-克拉布,33,G-F,1.98米/6尺6,98公斤/215磅,1992-04-09,4年7483万美元，2016年夏天签，2020年夏天到期，2019-20赛季球员选项,1850,布鲁克林篮网
德马雷-卡罗尔,9,F,2.03米/6尺8,96公斤/212磅,1986-07-27,4年5807万美元，2015年夏天签，2019年夏天到期,1540,布鲁克林篮网
贾里德-杜德利,6,F,2.01米/6尺7,102公斤/225磅,1985-07-10,3年3000万美元，2016年夏天签，2019年夏天到期,953,布鲁克林篮网
乔-哈里斯,12,G-F,1.98米/6尺6,99公斤/219磅,1991-09-06,2年1600万美元，2018年夏天签，2020年夏天到期,800,布鲁克林篮网
丹吉洛-拉塞尔,1,G,1.96米/6尺5,88公斤/195磅,1996-02-23,4年2302万美元，2015年夏天签，2019年夏天到期，2017-18赛季、2018-19赛季球队选项,702,布鲁克林篮网
埃德-戴维斯,17,C,2.08米/6尺10,111公斤/245磅,1989-06-05,1年445万美元，2018年夏天签，2019年夏天到期,445,布鲁克林篮网
朗戴-霍利斯-杰弗森,24,F,2.01米/6尺7,97公斤/214磅,1995-01-03,4年666万美元，2015年夏天签，2019年夏天到期，2017-18赛季、2018-19赛季球队选项,224,布鲁克林篮网
贾莱特-阿伦,31,C,2.08米/6尺10,107公斤/235磅,1998-04-21,4年1003万美元，2017年夏天签，2021年夏天到期，2019-20、2020-21赛季球队选项,203,布鲁克林篮网
沙巴兹-内皮尔,13,G,1.85米/6尺1,79公斤/175磅,1991-07-14,2年379万美元，2018年夏天签，2020年夏天到期，其中194万受保障，2019-20赛季球队选项且无保障,194,布鲁克林篮网
卡里斯-勒韦尔,22,G,2.01米/6尺7,92公斤/203磅,1994-08-25,4年752万美元，2016年夏天签，2020年夏天到期，2018-19赛季、2019-20赛季球队选项,170,布鲁克林篮网
斯潘塞-丁威迪,8,G,1.98米/6尺6,91公斤/200磅,1993-04-06,3年290万美元，2016年夏天签，2019年夏天到期，2016-17赛季部分保障，2017-18赛季5万美元保障，2017年10月30日之前不被裁则转为25万美元保障，2018-19赛季无保障。20,166,布鲁克林篮网
扎南-穆萨,30,G-F,2.06米/6尺9,88公斤/195磅,1999-05-08,4年916万美元，2018年夏天签，2022年夏天到期，2020-21赛季以及2021-22赛季球队选项,163,布鲁克林篮网
罗季翁斯-库鲁茨,00,F,2.06米/6尺9,100公斤/220磅,1998-02-05,4年696万美元，2018年夏天签，2022年夏天到期，2020-21赛季以及2021-22赛季球队选项,162,布鲁克林篮网
特雷韦恩-格雷厄姆,21,F,1.98米/6尺6,102公斤/226磅,1993-10-28,2年316万美元，2018年夏天签，2020年夏天到期，其中151万受保障，2019-20赛季无保障,151,布鲁克林篮网
阿兰-威廉姆斯,15,F,2.03米/6尺8,118公斤/260磅,1993-01-28,双向合同,7,布鲁克林篮网
西奥-平森,10,G,1.98米/6尺6,99公斤/218磅,1995-11-05,双向合同,7,布鲁克林篮网
德安德烈-乔丹,6,C,2.11米/6尺11,120公斤/265磅,1988-07-21,1年2290万美元，2018年夏天签，2019年夏天到期,2290,纽约尼克斯
兰斯-托马斯,42,F,2.03米/6尺8,107公斤/235磅,1988-04-24,4年2755万美元，2016年夏天签，2020年夏天到期，2019-20赛季无保障，2019年6月30日之前不被裁则转为100万美元保障，2020年1月20日之前不被裁则转为全额保障,712,纽约尼克斯
马里奥-海佐尼亚,8,F-G,2.03米/6尺8,99公斤/218磅,1995-02-25,1年650万美元，2018年夏天签，2019年夏天到期,650,纽约尼克斯
伊曼纽尔-穆迪埃,1,G,1.96米/6尺5,91公斤/200磅,1996-03-05,4年1420万美元，2015年夏天签，2019年夏天到期，2017-18赛季、2018-19赛季球队选项,429,纽约尼克斯
弗朗克-尼利基纳,11,G,1.96米/6尺5,86公斤/190磅,1998-07-28,4年1869万美元，2017年夏天签，2021年夏天到期，2019-20赛季、2020-21赛季球队选项,416,纽约尼克斯
丹尼斯-史密斯,5,G,1.91米/6尺3,88公斤/195磅,1997-11-25,4年1719万美元，2017年夏天签，2021年夏天到期，2019-20、2020-21赛季球队选项,382,纽约尼克斯
凯文-诺克斯,20,F,2.06米/6尺9,98公斤/215磅,1999-08-11,4年1855万美元，2018年夏天签，2022年夏天到期，其中2020年和2021年俱乐部选项,374,纽约尼克斯
阿朗佐-特里尔,14,G,1.96米/6尺5,90公斤/198磅,1996-01-17,2年693万美元，2018年12月签，2020年夏天到期。2019-20赛季球队选项。,338,纽约尼克斯
卢克-科内特,2,F-C,2.16米/7尺1,113公斤/250磅,1995-07-15,1年162万美元，2018年夏天签，2019年夏天到期,162,纽约尼克斯
丹伊恩-多特森,21,G,1.96米/6尺5,95公斤/210磅,1994-05-06,3年410万美元，2018年夏天签，2021年夏天到期，2019年无保证,162,纽约尼克斯
诺阿-冯莱,32,F,2.06米/6尺9,111公斤/245磅,1995-08-24,,162,纽约尼克斯
米切尔-罗宾逊,26,C,2.16米/7尺1,101公斤/223磅,1998-04-01,3年471万美元，2018年夏天签，2021年夏天到期，2020年无保障，如果在6月29日之前没有宣布放弃，则继续执行,149,纽约尼克斯
约翰-詹金斯,30,G,1.93米/6尺4,98公斤/215磅,1991-03-06,10天9.9万美元，2月10日签，2月20日到期,10,纽约尼克斯
卡迪姆-阿伦,0,G,1.91米/6尺3,91公斤/200磅,1993-01-15,双向合同,7,纽约尼克斯
以赛亚-希克斯,4,F,2.06米/6尺9,110公斤/242磅,1994-07-24,双向合同,7,纽约尼克斯
亨利-埃伦森,13,F,2.11米/6尺11,111公斤/245磅,1997-01-13,,,纽约尼克斯
