PName,PNumber,PLocation,PHeight,PWeight,PBirth,PContract,PCurrent_salary,PTeam
克里斯-保罗,3,G,1.83米/6尺0,79公斤/175磅,1985-05-06,4年1.6亿美元，2018年夏天签，2022年夏天到期,3565,休斯顿火箭
詹姆斯-哈登,13,G,1.96米/6尺5,100公斤/220磅,1989-08-26,2016年夏天在旧合同期内以4年1.18亿美元提前续约至2020年，2017年夏天再次以4年1.7亿美元提前续约至2023年，2022-23赛季球员选项,3043,休斯顿火箭
克林特-卡佩拉,15,C,2.11米/6尺11,109公斤/240磅,1994-05-18,5年9000万美元，2018年夏天签，2023年夏天到期，其中8000万美元保障，每赛季火箭进入西决奖励100万美元，防守篮板率达到30%、罚球命中率达到65%各奖励50万美元,1379,休斯顿火箭
埃里克-戈登,10,G,1.93米/6尺4,98公斤/215磅,1988-12-25,4年5289万美元，2016年夏天签，2020年夏天到期。,1350,休斯顿火箭
伊曼-香珀特,1,G,1.96米/6尺5,100公斤/220磅,1990-06-26,4年4000万美元，2015年夏天签，2019年夏天到期，2018-19赛季球员选项（已执行）,1101,休斯顿火箭
PJ-塔克,17,F,1.98米/6尺6,111公斤/245磅,1985-05-05,4年3188万美元，2017年夏天签，2021年夏天到期，2020-21赛季257万美元保障，2020年7月1日之前不被裁则转为全额保障,797,休斯顿火箭
内内,42,C-F,2.11米/6尺11,113公斤/250磅,1982-09-13,3年1095万美元，2017年夏天签，2020年夏天到期,365,休斯顿火箭
杰拉德-格林,14,G-F,2.01米/6尺7,93公斤/205磅,1986-01-26,1年240万美元，2018年夏天签，2019年夏天到期,240,休斯顿火箭
奥斯汀-里弗斯,25,G,1.93米/6尺4,91公斤/200磅,1992-08-01,1年116万美元，2018年12月签，2019年夏天到期,116,休斯顿火箭
肯尼思-法里德,35,F-C,2.03米/6尺8,103公斤/228磅,1989-11-19,1年92万美元，2019年1月签，2019年夏天到期,92,休斯顿火箭
以赛亚-哈尔滕施泰因,55,F-C,2.13米/7尺0,113公斤/249磅,1998-05-05,3年392万美元，2018年夏天签，2021年夏天到期,84,休斯顿火箭
加里-克拉克,6,F,2.03米/6尺8,102公斤/225磅,1994-11-16,3年367万美元，2018年12月签，其中19-20赛季50%保障，20-21赛季为无保障合同，2021年夏天到期,60,休斯顿火箭
丹纽尔-豪斯,4,G,2.01米/6尺7,98公斤/215磅,1993-06-07,双向合同,7,休斯顿火箭
文森特-爱德华兹,12,F,2.03米/6尺8,102公斤/225磅,1996-04-05,双向合同,7,休斯顿火箭
特伦斯-琼斯,9,F,2.06米/6尺9,114公斤/252磅,1992-01-09,,,休斯顿火箭
德马尔-德罗赞,10,G,2.01米/6尺7,100公斤/220磅,1989-08-07,5年1.38亿美元，2016年夏天签，2021年夏天到期,2794,圣安东尼奥马刺
拉马库斯-阿尔德里奇,12,F,2.11米/6尺11,118公斤/260磅,1985-07-19,4年8407万美元，2015年夏天签，2019年夏天到期，2018-19赛季球员选项；2017年10月以3年7230万美元提前续约，2018年夏天生效，2021年到期，如果2020年6月29日之前被裁,2235,圣安东尼奥马刺
帕蒂-米尔斯,8,G,1.83米/6尺0,84公斤/185磅,1988-08-11,4年5000万美元，2017年夏天签，2021年夏天到期,1205,圣安东尼奥马刺
鲁迪-盖伊,22,F,2.03米/6尺8,104公斤/230磅,1986-08-17,1年1008万美元，2018年夏天签，2019年夏天到期,1008,圣安东尼奥马刺
戴维斯-贝尔坦斯,42,F,2.08米/6尺10,95公斤/210磅,1992-11-12,2年1450万美元，2018年夏天签，2020年夏天到期,700,圣安东尼奥马刺
马科-贝里内利,18,G-F,1.96米/6尺5,95公斤/210磅,1986-03-25,2年1200万美元，2018年夏天签，2020年夏天到期,615,圣安东尼奥马刺
布林-福布斯,11,G,1.91米/6尺3,86公斤/190磅,1993-07-23,2年600万美元，2018年夏天签，2020年夏天到期,313,圣安东尼奥马刺
雅各布-珀尔特尔,25,C,2.13米/7尺0,104公斤/230磅,1995-10-15,4年1223万美元，2016年夏天签，2020年夏天到期，2018-19赛季、2019-20赛季球队选项,295,圣安东尼奥马刺
丹特-坎宁安,33,F,2.03米/6尺8,104公斤/230磅,1987-04-22,1年248万美元，2018年夏天签，2019年夏天到期,248,圣安东尼奥马刺
朗尼-沃克,1,G,1.96米/6尺5,93公斤/204磅,1998-12-14,4年1246万美元，2018年夏天签，2022年夏天到期，2020年和2021年球队选项,236,圣安东尼奥马刺
昆西-庞德塞特,3,F,2.01米/6尺7,102公斤/225磅,1988-03-10,1年217万美元，2018年夏天签，2019年夏天到期,217,圣安东尼奥马刺
德里克-怀特,4,G,1.96米/6尺5,91公斤/200磅,1994-07-02,4年854万美元，2017年夏天签，2021年夏天到期，2019-20、2020-21赛季球队选项,167,圣安东尼奥马刺
德章泰-默里,5,G,1.96米/6尺5,77公斤/170磅,1996-09-19,4年602万美元，2016年夏天签，2020年夏天到期，2018-19赛季、2019-20赛季球队选项,129,圣安东尼奥马刺
奇梅齐耶-梅图,7,F,2.08米/6尺10,102公斤/225磅,1997-03-22,3年392万美元，2018年夏天签，2021年夏天到期,84,圣安东尼奥马刺
本-摩尔,26,F,2.03米/6尺8,100公斤/220磅,1995-05-13,双向合同,7,圣安东尼奥马刺
德鲁-尤班克斯,14,F,2.08米/6尺10,113公斤/250磅,1997-02-01,双向合同,7,圣安东尼奥马刺
朱-霍勒迪,11,G,1.93米/6尺4,93公斤/205磅,1990-06-12,5年1.31亿美元，2017年夏天签，2022年夏天到期，2021-22赛季球员选项，激励奖金,2613,新奥尔良鹈鹕
安东尼-戴维斯,23,F-C,2.08米/6尺10,115公斤/253磅,1993-03-11,5年1.3亿美元，2015年夏天签，2016年夏天生效，2021年夏天到期，2020-21赛季球员选项,2543,新奥尔良鹈鹕
所罗门-希尔,44,F,2.01米/6尺7,102公斤/225磅,1991-03-18,4年4800万美元，2016年夏天签，2020年夏天到期,1225,新奥尔良鹈鹕
伊托万-摩尔,55,G,1.93米/6尺4,87公斤/191磅,1989-02-25,4年3400万美元，2016年夏天签，2020年夏天到期,881,新奥尔良鹈鹕
朱利叶斯-兰德尔,30,F,2.06米/6尺9,113公斤/250磅,1994-11-29,2年1771万美元，2018年夏天签，2020年夏天到期,864,新奥尔良鹈鹕
杰森-史密斯,14,F-C,2.13米/7尺0,109公斤/240磅,1986-03-02,3年1568万美元，2016年夏天签，2019年夏天到期,545,新奥尔良鹈鹕
斯坦利-约翰逊,3,F,2.01米/6尺7,111公斤/245磅,1996-05-29,4年1285万美元，2015年夏天签，2019年夏天到期，2017-18赛季、2018-19赛季球队选项,394,新奥尔良鹈鹕
埃尔弗里德-佩顿,4,G,1.93米/6尺4,84公斤/185磅,1994-02-22,1年270万美元，2018年夏天签，2019年夏天到期,270,新奥尔良鹈鹕
达柳斯-米勒,21,F,2.03米/6尺8,102公斤/225磅,1990-03-21,2年431万美元，2017年夏天签，2019年夏天到期，2018-19赛季无保障，2018年6月28日之前不被裁则转为30万美元保障，2018年7月4日之前不被裁则转为全额保障,221,新奥尔良鹈鹕
伊恩-克拉克,2,G,1.91米/6尺3,79公斤/175磅,1991-03-07,1年176万美元，2018年夏天签，2019年夏天到期,176,新奥尔良鹈鹕
贾利尔-奥卡福,8,C,2.11米/6尺11,125公斤/275磅,1995-12-15,2年327万美元，2018年夏天签，2020年夏天到期,157,新奥尔良鹈鹕
谢赫-迪亚洛,13,F,2.06米/6尺9,100公斤/220磅,1996-09-13,3年250万美元，2016年夏天签，2019年夏天到期，2018-19赛季50万美元保障，常规赛开始前不被裁则转为全额保障,152,新奥尔良鹈鹕
弗兰克-杰克逊,15,G,1.91米/6尺3,93公斤/205磅,1998-05-04,3年381万美元，2017年夏天签，2020年夏天到期，2019-20赛季50.6万美元保障,138,新奥尔良鹈鹕
肯里奇-威廉姆斯,34,G-F,2.01米/6尺7,95公斤/209磅,1994-12-02,2年228万美元，2018年夏天签，2020年夏天到期,84,新奥尔良鹈鹕
特雷旺-布卢伊特,5,G,1.96米/6尺5,98公斤/215磅,1994-11-04,双向合同,7,新奥尔良鹈鹕
达里斯-贝尔坦,9,G,1.93米/6尺4,83公斤/183磅,1989-09-09,,,新奥尔良鹈鹕
迈克-康利,11,G,1.85米/6尺1,79公斤/175磅,1987-10-11,5年1.53亿美元，2016年夏天签，2021年夏天到期,3052,孟菲斯灰熊
钱德勒-帕森斯,25,F,2.08米/6尺10,104公斤/230磅,1988-10-25,4年9444万美元，2016年夏天签，2020年夏天到期,2411,孟菲斯灰熊
约纳斯-瓦兰丘纳斯,17,C,2.13米/7尺0,116公斤/255磅,1992-05-06,4年6400万美元，2016年夏天签，2020年夏天到期，2019-20赛季球员选项,1654,孟菲斯灰熊
埃弗里-布拉德利,0,G,1.88米/6尺2,82公斤/180磅,1990-11-26,2年2496万美元，2018年夏天签，2020年夏天到期，其中1400万美元受保障，2019-20赛季200万受保障，如果在2019年7月3日前不被裁则转为全额保障,1200,孟菲斯灰熊
凯尔-安德森,1,F,2.06米/6尺9,104公斤/230磅,1993-09-20,4年3716万美元，2018年夏天签，2022年夏天到期,864,孟菲斯灰熊
CJ-迈尔斯,6,F-G,1.98米/6尺6,102公斤/225磅,1987-03-18,3年2500万美元，2017年夏天签，2020年夏天到期，2019-2020赛季球员选项,833,孟菲斯灰熊
小贾伦-杰克逊,13,F,2.11米/6尺11,110公斤/242磅,1999-09-15,4年2928万美元，2018年夏天签，2022年夏天到期,591,孟菲斯灰熊
贾斯廷-霍勒迪,7,G,1.98米/6尺6,84公斤/185磅,1989-04-05,2年900万美元，2017年夏天签，2019年夏天到期,438,孟菲斯灰熊
德朗-赖特,2,G,1.96米/6尺5,86公斤/190磅,1992-04-26,4年727万美元，2015年夏天签，2019年夏天到期，2017-18赛季、2018-19赛季球队选项,254,孟菲斯灰熊
乔金-诺阿,55,C,2.11米/6尺11,104公斤/230磅,1985-02-25,1年173万美元。2018年12月签，2019年夏天到期。,173,孟菲斯灰熊
泰勒-多西,22,G,1.93米/6尺4,83公斤/183磅,1996-02-18,2年219万美元，2017年夏天签，2019年夏天到期,138,孟菲斯灰熊
狄龙-布鲁克斯,24,G-F,1.98米/6尺6,102公斤/225磅,1996-01-22,3年381万美元，2017年夏天签，2020年夏天到期，2019-20赛季无保障，2019年7月5日之前不被裁则转为全额保障 ,138,孟菲斯灰熊
伊万-拉布,10,F,2.08米/6尺10,100公斤/220磅,1997-02-04,3年395万美元，2017年夏天签，2020年夏天到期，2019-20赛季球队选项,138,孟菲斯灰熊
杰文-卡特,3,G,1.88米/6尺2,91公斤/200磅,1995-09-14,2年226万美元，2018年夏天签，2020年夏天到期,84,孟菲斯灰熊
布鲁诺-卡博克洛,5,F,2.06米/6尺9,93公斤/205磅,1995-09-21,2年237万美元，2019年2月签，2020年夏天到期，2019-20赛季无保障,52,孟菲斯灰熊
朱利安-沃什伯恩,4,G-F,2.03米/6尺8,93公斤/205磅,1991-12-18,双向合同,7,孟菲斯灰熊
渡边雄太,12,G-F,2.06米/6尺9,93公斤/205磅,1994-10-13,双向合同,7,孟菲斯灰熊
小蒂姆-哈达威,11,F-G,1.98米/6尺6,93公斤/205磅,1992-03-16,4年7095万美元，2017年夏天签，2021年夏天到期，15%交易保证金，2020-2021赛季球员选项,1733,达拉斯独行侠
考特尼-李,1,G,1.96米/6尺5,91公斤/200磅,1985-10-03,4年4800万美元，2016年夏天签，2020年夏天到期,1225,达拉斯独行侠
德怀特-鲍威尔,7,F-C,2.11米/6尺11,109公斤/240磅,1991-07-20,4年3700万美元，2016年夏天签，2020年夏天到期，2019-20赛季球员选项,956,达拉斯独行侠
卢卡-东契奇,77,G-F,2.03米/6尺8,103公斤/228磅,1999-02-28,4年3246万美元，2018年夏天签，2022年夏天到期，2020和2021年球队选项,656,达拉斯独行侠
克里斯塔普斯-波尔津吉斯,6,F-C,2.21米/7尺3,109公斤/240磅,1995-08-02,4年1865万美元，2015年夏天签，2019年夏天到期，2017-18赛季、2018-19赛季球队选项,570,达拉斯独行侠
德克-诺维茨基,41,F,2.13米/7尺0,111公斤/245磅,1978-06-19,1年500万美元，2018年夏天签，2019年夏天到期,500,达拉斯独行侠
何塞-巴里亚,5,G,1.83米/6尺0,84公斤/185磅,1984-06-26,4年1600万美元，2015年夏天签，2019年夏天到期,371,达拉斯独行侠
贾斯廷-杰克逊,44,F,2.03米/6尺8,95公斤/210磅,1995-03-28,4年1348万美元，2017年夏天签，2021年夏天到期，2019-20赛季、2020-21赛季球队选项,281,达拉斯独行侠
德文-哈里斯,34,G,1.91米/6尺3,84公斤/185磅,1983-02-27,1年239万美元，2018年夏天签，2019年夏天到期,239,达拉斯独行侠
特雷-伯克,23,G,1.85米/6尺1,87公斤/191磅,1992-11-12,2年258万美元，2018年1月签，2019年夏天到期,180,达拉斯独行侠
马克西-克勒贝尔,42,F,2.11米/6尺11,100公斤/220磅,1992-01-29,2年219万美元，2017年夏天签，2019年夏天到期，2018-19赛季球队选项/无保障， 2017年7月15日之前不被裁则转为全额保障,138,达拉斯独行侠
杰伦-布伦森,13,G,1.91米/6尺3,86公斤/190磅,1996-08-31,4年611万美元，2018年夏天签，2022年夏天到期，其中431万美元受保障，2021-22赛季无保障,123,达拉斯独行侠
多里安-芬尼-史密斯,10,F,2.03米/6尺8,100公斤/220磅,1993-05-04,3年250万美元，2016年夏天签，2019年夏天到期,105,达拉斯独行侠
瑞安-布罗科夫,45,G-F,2.01米/6尺7,98公斤/215磅,1990-08-23,2年240万美元，2018年夏天签，2020年夏天到期，其中2019-20赛季无保障,84,达拉斯独行侠
萨拉赫-梅杰里,50,C,2.18米/7尺2,111公斤/245磅,1986-06-15,1年53万美元，2019年2月签，2019年夏天到期,53,达拉斯独行侠
达里尔-梅肯,3,G,1.91米/6尺3,84公斤/185磅,1995-11-29,双向合同,7,达拉斯独行侠
科斯塔斯-阿德托昆博,37,F,2.08米/6尺10,88公斤/195磅,1997-11-20,双向合同,7,达拉斯独行侠
斯蒂芬-库里,30,G,1.91米/6尺3,86公斤/190磅,1988-03-14,5年2.01亿美元，2017年夏天签，2022年夏天到期，15%交易保证金,3746,金州勇士
凯文-杜兰特,35,F,2.06米/6尺9,109公斤/240磅,1988-09-29,2年6150万美元，2018年夏天签，2020年夏天到期，2019年球员选项,3000,金州勇士
克莱-汤普森,11,G,2.01米/6尺7,98公斤/215磅,1990-02-08,4年6900万美元，2014年10月签，2015年夏天生效，2019年夏天到期,1899,金州勇士
德雷蒙德-格林,23,F,2.01米/6尺7,104公斤/230磅,1990-03-04,5年8200万美元，2015年夏天签，2020年夏天到期,1747,金州勇士
安德烈-伊格达拉,9,G-F,1.98米/6尺6,98公斤/215磅,1984-01-28,3年4800万美元，2017年夏天签，2020年夏天到期,1600,金州勇士
肖恩-利文斯顿,34,G,2.01米/6尺7,87公斤/192磅,1985-09-11,3年2369万美元，2017年夏天签，2020年夏天到期，2019-20赛季200万美元保障，2019年6月30日之前不被裁则转为全额保障,831,金州勇士
德马库斯-考辛斯,0,C,2.11米/6尺11,122公斤/270磅,1990-08-13,1年534万美元，2018年夏天签，2019年夏天到期,534,金州勇士
约纳斯-杰雷布科,21,F,2.08米/6尺10,105公斤/231磅,1987-03-02,1年217万美元，2018年夏天签，2019年夏天到期,217,金州勇士
雅各布-埃文斯,10,G,1.98米/6尺6,95公斤/210磅,1997-06-18,4年922万美元，2018年夏天签，2022年夏天到期，其中2021年2022年俱乐部选项,164,金州勇士
凯文-卢尼,5,F,2.06米/6尺9,100公斤/220磅,1996-02-06,1年157万美元，2018年夏天签，2019年夏天到期,157,金州勇士
奎因-库克,4,G,1.88米/6尺2,81公斤/179磅,1993-03-23,2年156万美元，2018年4月签，2019年夏天到期,154,金州勇士
乔丹-贝尔,2,F,2.03米/6尺8,102公斤/225磅,1995-01-07,2年219万美元，2017年夏天签，2019年夏天到期,138,金州勇士
阿方索-麦金尼,28,F,2.03米/6尺8,98公斤/215磅,1992-09-17,2年277万美元，2018年夏天签，2020年夏天到期,135,金州勇士
达米安-琼斯,15,C,2.13米/7尺0,111公斤/245磅,1995-06-30,4年598万美元，2016年夏天签，2020年夏天到期，2018-19赛季、2019-20赛季球队选项,128,金州勇士
马库斯-德里克森,32,F,2.01米/6尺7,113公斤/249磅,1996-02-01,双向合同,7,金州勇士
达米恩-李,1,G,1.98米/6尺6,95公斤/210磅,1992-10-21,双向合同,7,金州勇士
安德鲁-博古特,12,C,2.13米/7尺0,118公斤/260磅,1984-11-28,,,金州勇士
达尼罗-加里纳利,8,F,2.08米/6尺10,102公斤/225磅,1988-08-08,3年6477万美元，2017年夏天签，2020年夏天到期,2159,洛杉矶快船
威尔森-钱德勒,22,F,2.03米/6尺8,102公斤/225磅,1987-05-10,4年4650万美元，2015年夏天签，2019年夏天到期,1280,洛杉矶快船
路易斯-威廉姆斯,23,G,1.85米/6尺1,79公斤/175磅,1986-10-27,3年2400万美元，2018年夏天签，2021年夏天到期,800,洛杉矶快船
加莱特-坦普尔,17,G-F,1.98米/6尺6,88公斤/195磅,1986-05-08,3年2400万美元，2016年夏天签，2019年夏天到期,800,洛杉矶快船
杰迈克尔-格林,4,F,2.06米/6尺9,103公斤/227磅,1990-06-21,2年1640万美元，2017年夏天签，2019年夏天到期,787,洛杉矶快船
蒙特雷兹-哈勒尔,5,F-C,2.03米/6尺8,109公斤/240磅,1994-01-26,2年1200万美元，2018年夏天签，2020年夏天到期,600,洛杉矶快船
帕特里克-贝弗利,21,G,1.85米/6尺1,84公斤/185磅,1988-07-12,4年2303万美元，2015年夏天签，2019年夏天到期，2018-19赛季无保障,503,洛杉矶快船
卢克-理查德-巴莫特,12,F,2.03米/6尺8,104公斤/230磅,1986-09-09,1年432万美元，2018年夏天签，2019年夏天到期,432,洛杉矶快船
谢伊-吉尔杰斯-亚历山大,2,G,1.98米/6尺6,82公斤/180磅,1998-07-12,4年1696万美元，2018年夏天签，2022年夏天到期，2020-21赛季及2021-22赛季球队选项,337,洛杉矶快船
杰罗姆-罗宾逊,10,G,1.96米/6尺5,86公斤/190磅,1997-02-22,4年1569万美元，2018年夏天签，2022年夏天到期，2020-21赛季及2021-22赛季球队选项,305,洛杉矶快船
兰德里-沙梅特,20,G,1.93米/6尺4,82公斤/180磅,1997-03-13,4年955万美元，2018年夏天签，2022年夏天到期，2020年和2021年球队选项,170,洛杉矶快船
辛达里厄斯-桑韦尔,0,G,1.96米/6尺5,98公斤/215磅,1994-11-15,3年381万美元，2017年夏天签，2020年夏天到期，2019-20赛季无保障,138,洛杉矶快船
蒂龙-华莱士,9,G,1.96米/6尺5,90公斤/198磅,1994-06-10,2年294万美元，2018年夏天签，2020年夏天到期,135,洛杉矶快船
伊维察-祖巴茨,40,C,2.16米/7尺1,109公斤/240磅,1997-03-18,3年324万美元，2016年夏天签，2019年夏天到期，2018-19赛季无保障。,113,洛杉矶快船
乔纳森-莫特利,15,F,2.08米/6尺10,104公斤/230磅,1995-05-04,双向合同,7,洛杉矶快船
安吉尔-德尔加多,31,C,2.08米/6尺10,109公斤/240磅,1994-11-20,双向合同,7,洛杉矶快船
贾斯廷-比布斯,40,G,1.96米/6尺5,100公斤/220磅,1996-01-14,,,洛杉矶快船
哈里森-巴恩斯,40,F,2.03米/6尺8,102公斤/225磅,1992-05-30,4年9400万美元，2016年夏天签，2020年夏天到期，2019-20赛季球员选项,2411,萨克拉门托国王
亚历克-伯克斯,13,G,1.98米/6尺6,97公斤/214磅,1991-07-20,4年4100万美元，2014年10月签，2015年夏天生效，2019年夏天到期,1154,萨克拉门托国王
科斯塔-库佛斯,41,C,2.13米/7尺0,120公斤/265磅,1989-02-24,4年3288万美元，2015年夏天签，2019年夏天到期,874,萨克拉门托国王
波格丹-波格丹诺维奇,8,G,1.98米/6尺6,93公斤/205磅,1992-08-18,3年2700万美元，2017年夏天签，2020年夏天到期,853,萨克拉门托国王
马文-巴格利,35,F,2.11米/6尺11,107公斤/235磅,1999-03-14,4年3613万美元，2018年夏天签，2022年夏天到期，2020-21赛季及2021-22赛季球队选项,730,萨克拉门托国王
内马尼亚-别利察,88,F,2.08米/6尺10,102公斤/225磅,1988-05-09,3年2047万美元，2018年夏天签，2021年夏天到期，其中1332万受保障，2020-21赛季无保障,650,萨克拉门托国王
达龙-福克斯,5,G,1.91米/6尺3,79公斤/175磅,1997-12-20,4年2457万美元，2017年夏天签，2021年夏天到期，2019-20、2020-21赛季球队选项,547,萨克拉门托国王
威利-考利-斯坦,00,C,2.13米/7尺0,109公斤/240磅,1993-08-18,4年1535万美元，2015年夏天签，2019年夏天到期，2017-18赛季、2018-19赛季球队选项,470,萨克拉门托国王
巴迪-希尔德,24,G,1.93米/6尺4,97公斤/214磅,1992-12-17,4年1589万美元，2016年夏天签，2020年夏天到期，2018-19赛季、2019-20赛季球队选项,383,萨克拉门托国王
约吉-费雷尔,3,G,1.83米/6尺0,82公斤/180磅,1993-05-09,2年615万美元，2018年夏天签，2020年夏天到期,300,萨克拉门托国王
哈里-贾尔斯,20,F-C,2.08米/6尺10,109公斤/240磅,1998-04-22,4年1062万美元，2017年夏天签，2021年夏天到期，2019-20、2020-21赛季球队选项,221,萨克拉门托国王
凯莱布-斯瓦尼根,50,F,2.03米/6尺8,113公斤/250磅,1997-04-18,4年890万美元，2017年夏天签，2021年夏天到期，2019-20、2020-21赛季球队选项,174,萨克拉门托国王
弗兰克-梅森,10,G,1.83米/6尺0,86公斤/190磅,1994-04-03,3年418万美元，2017年夏天签，2020年夏天到期，2019-20赛季无保障，2019年10月15日之前不被裁则转为全额保障 ,138,萨克拉门托国王
韦尼恩-加布里埃尔,32,F,2.06米/6尺9,97公斤/213磅,1997-03-26,双向合同,7,萨克拉门托国王
特洛伊-威廉姆斯,19,G-F,2.01米/6尺7,95公斤/210磅,1994-12-30,双向合同,7,萨克拉门托国王
科里-布鲁尔,33,F,2.06米/6尺9,84公斤/186磅,1986-03-05,,,萨克拉门托国王
勒布朗-詹姆斯,23,F-G,2.03米/6尺8,113公斤/250磅,1984-12-30,,3565,洛杉矶湖人
肯塔维厄斯-考德威尔-波普,1,G,1.96米/6尺5,93公斤/205磅,1993-02-18,1年1200万美元，2018年夏天签，2019年夏天到期，15%的交易保证金,1200,洛杉矶湖人
拉简-隆多,9,G,1.85米/6尺1,84公斤/186磅,1986-02-22,1年900万美元，2018年夏天签，2019年夏天到期,900,洛杉矶湖人
朗佐-鲍尔,2,G,1.98米/6尺6,86公斤/190磅,1997-10-27,4年3347万美元，2017年夏天签，2021年夏天到期，2019-20、2020-21赛季球队选项,746,洛杉矶湖人
布兰登-英格拉姆,14,F,2.06米/6尺9,86公斤/190磅,1997-09-02,4年2382万美元，2016年夏天签，2020年夏天到期，2018-19赛季、2019-20赛季球队选项,576,洛杉矶湖人
迈克-穆斯卡拉,31,F-C,2.11米/6尺11,109公斤/240磅,1991-07-01,2年1000万美元，2017年夏天签，2019年夏天到期，2018-2019赛季球员选项,500,洛杉矶湖人
兰斯-史蒂芬森,6,G,1.96米/6尺5,104公斤/230磅,1990-09-05,1年445万美元，2018年夏天签，2019年夏天到期,445,洛杉矶湖人
雷吉-布洛克,35,F,2.01米/6尺7,93公斤/205磅,1991-03-16,2年500万美元，2017年夏天签，2019年夏天到期，2018-2019赛季无保障，2018年7月15日之前不被裁则转为全额保障,250,洛杉矶湖人
贾维尔-麦基,7,C,2.13米/7尺0,122公斤/270磅,1988-01-19,1年239万美元，2018年夏天签，2019年夏天到期,239,洛杉矶湖人
泰森-钱德勒,5,C,2.16米/7尺1,109公斤/240磅,1982-10-02,1年211万美元。2018年11月签，2019年夏天到期。,211,洛杉矶湖人
莫里茨-瓦格纳,15,C-F,2.11米/6尺11,109公斤/240磅,1997-04-26,4年987万美元，2018年夏天签，2022年夏天到期，2020-21、2021-22赛季球队选项,176,洛杉矶湖人
凯尔-库兹马,0,F,2.06米/6尺9,100公斤/220磅,1995-07-24,4年874万美元，2017年夏天签，2021年夏天到期，2019-20、2020-21赛季球队选项,169,洛杉矶湖人
约什-哈特,3,G,1.96米/6尺5,98公斤/215磅,1995-03-06,4年847万美元，2017年夏天签，2021年夏天到期，2019-20、2020-21赛季球队选项,166,洛杉矶湖人
伊萨克-邦加,17,G,2.03米/6尺8,81公斤/179磅,1999-11-08,3年408万美元，2018年夏天签，2021年夏天到期，2020-21赛季无保障,100,洛杉矶湖人
乔纳森-威廉姆斯,19,F,2.06米/6尺9,103公斤/228磅,1995-05-22,1年84万美元，2018年夏天签，2019年夏天到期,84,洛杉矶湖人
亚历克斯-卡鲁索,4,G,1.96米/6尺5,84公斤/186磅,1994-02-28,双向合同,7,洛杉矶湖人
安德烈-英格拉姆,20,G,1.91米/6尺3,83公斤/184磅,1985-11-19,,,洛杉矶湖人
泰勒-约翰逊,16,G,1.93米/6尺4,84公斤/186磅,1992-05-07,4年5000万美元，2016年夏天签，2020年夏天到期，2019-20赛季球员选项，15%的交易保证金,1886,菲尼克斯太阳
TJ-沃伦,12,F,2.03米/6尺8,102公斤/225磅,1993-09-05,4年972万美元，2014年夏天签，2018年夏天到期，2016-17赛季、2017-18赛季球队选项（已执行），2017年9月以4年4700万美元提前续约，2018年夏天生效，2022年夏天到期,1175,菲尼克斯太阳
德安德烈-艾顿,22,C,2.16米/7尺1,118公斤/260磅,1998-07-23,4年4037万美元，2018年夏天签，2022年夏天到期，2020-21赛季及2021-22赛季球队选项,816,菲尼克斯太阳
约什-杰克逊,20,F,2.03米/6尺8,93公斤/205磅,1997-02-10,4年2712万美元，2017年夏天签，2021年夏天到期，2019-20、2020-21赛季球队选项,604,菲尼克斯太阳
德拉甘-本德尔,35,F,2.16米/7尺1,102公斤/225磅,1997-11-17,4年1930万美元，2016年夏天签，2020年夏天到期，2018-19赛季、2019-20赛季球队选项,466,菲尼克斯太阳
米卡尔-布里奇斯,25,F,2.01米/6尺7,95公斤/209磅,1996-08-30,4年1763万美元，2018年夏天签，2022年夏天到期，2020-21赛季及2021-22赛季球队选项,355,菲尼克斯太阳
特洛伊-丹尼尔斯,30,G,1.93米/6尺4,93公斤/205磅,1991-07-15,3年1000万美元，2016年夏天签，2019年夏天到期,348,菲尼克斯太阳
德文-布克,1,G,1.98米/6尺6,93公斤/206磅,1996-10-30,,331,菲尼克斯太阳
凯利-乌布雷,3,F,2.01米/6尺7,93公斤/205磅,1995-12-09,4年923万美元，2015年夏天签，2019年夏天到期，2017-18赛季、2018-19赛季球队选项,321,菲尼克斯太阳
贾马尔-克劳福德,11,G,1.96米/6尺5,88公斤/195磅,1980-03-20,1年240万美元，2018年夏天签，2019年夏天到期,240,菲尼克斯太阳
里乔恩-霍姆斯,21,F-C,2.08米/6尺10,111公斤/245磅,1993-10-15,4年517万美元，2015年夏天签，2019年夏天到期，2017-18赛季无保障，2018年6月29日前球队选项 ,160,菲尼克斯太阳
埃利-奥科博,2,G,1.88米/6尺2,82公斤/180磅,1997-10-23,3年572万美元，2018年夏天签，2021年夏天到期，其中265万受保障，2020-21赛季无保障，如果在7月10日前不被裁则转为受保障；2021-22赛季球队选项无保障，如果在7月10日前未被裁则,124,菲尼克斯太阳
丹东尼-梅尔顿,14,G,1.93米/6尺4,86公斤/190磅,1998-05-28,2年230万美元，2018年夏天签，2020年夏天到期,84,菲尼克斯太阳
贾旺-埃文斯,0,G,1.83米/6尺0,86公斤/190磅,1996-07-26,双向合同,7,菲尼克斯太阳
乔治-金,8,F,1.98米/6尺6,100公斤/220磅,1994-01-15,双向合同,7,菲尼克斯太阳
雷-斯波尔丁,26,F,2.08米/6尺10,98公斤/215磅,1997-03-11,,,菲尼克斯太阳
保罗-米尔萨普,4,F,2.03米/6尺8,112公斤/246磅,1985-02-10,3年9150万美元，2017年夏天签，2020年夏天到期，2019-2020赛季球队选项,2973,丹佛掘金
